what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1480424393009
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1480424393009
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1480424393010
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1480424393010
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1480424393011
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1480424393011
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1480424393011
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1480424393012
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1480424393012
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1480424393014
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1480424393015
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1480424393015
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1480424393016
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1480424393016
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1480424393017
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1480424393018
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1480424393018
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1480424393018
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1480424393019
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1480424393019
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1480424393020
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1480424393020
os,sysinfo,,,"macosx",1480424393023
arch,sysinfo,,,"x86_64",1480424393023
ws,sysinfo,,,"cocoa",1480424393023
locale,sysinfo,,,"sv_SE",1480424393023
processors,sysinfo,,,"8",1480424393023
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1480424393023
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1480424393023
java.specification.name,sysinfo,,,"Java Platform API Specification",1480424393023
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1480424393023
java.specification.version,sysinfo,,,"1.6",1480424393023
java.vendor,sysinfo,,,"Apple Inc.",1480424393023
java.version,sysinfo,,,"1.6.0_65",1480424393023
java.vm.info,sysinfo,,,"mixed mode",1480424393023
